version,Vancouver XP7049,,,,,,,,,,,,,,,,,,,,,
codebook,,,,,,,,,,,,,,,,,,,,,,
bit_names,RS0015,RS0083,RS0095,RS0109,RS0175,RS0237,RS0247,RS0255,RS0307,RS0332,RS0343,RS0384,RS0406,RS0451,RS0468,RS0548,RS0578,RS0584,RS0639,RS0707,RS0708,RS0730
name,id,numeric_id,barcode
Il21r,ENSMUST00000033000,43,0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0
Il5ra,ENSMUST00000204659,44,0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 1
Itgb2l,ENSMUST00000000161,45,1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0
Jun,ENSMUST00000107094,46,1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1
Klri2,ENSMUST00000050385,47,1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0
Kras,ENSMUST00000032399,48,0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1
Lamp3,ENSMUST00000081880,49,0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1
Maf,ENSMUST00000109104,50,0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1
Map2k1,ENSMUST00000005066,51,0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0
Map2k2,ENSMUST00000143517,52,1 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0
Mapk1,ENSMUST00000069107,53,0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0
Marco,ENSMUST00000027639,54,0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0
Met,ENSMUST00000115443,55,0 0 0 1 0 0 1 0 0 0 0 0 0 1 1 0
Mgam,ENSMUST00000071535,56,0 0 1 0 0 1 0 0 0 0 0 0 1 1 0 0
Ms4a1,ENSMUST00000169159,57,0 0 1 1 0 0 0 1 0 0 1 0 0 0 0 0
Msr1,ENSMUST00000170091,58,0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0
Mtor,ENSMUST00000103221,59,1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1
Nup107,ENSMUST00000064848,60,1 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0
Oas3,ENSMUST00000044833,61,0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 0
Padi4,ENSMUST00000026381,62,0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0
Pdcd1,ENSMUST00000027507,63,0 0 0 1 0 0 1 0 0 1 0 1 0 0 0 0
Pdgfc,ENSMUST00000029652,64,0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0
Pdk1,ENSMUST00000006669,65,0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0
Pik3ca,ENSMUST00000029201,66,0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0
Pik3cd,ENSMUST00000105688,67,1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0
Pik3cg,ENSMUST00000053215,68,0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 1
Pik3r1,ENSMUST00000055518,69,0 0 0 0 1 0 0 1 1 0 0 0 0 1 0 0
Pik3r2,ENSMUST00000034296,70,1 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1
Pik3r5,ENSMUST00000021283,71,1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0
Pkm,ENSMUST00000034834,72,0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0
Pla2g6,ENSMUST00000174021,73,0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0
Plcg1,ENSMUST00000103115,74,1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0
Prf1,ENSMUST00000219375,75,0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0
Prkcb,ENSMUST00000064989,76,1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0
Pten,ENSMUST00000013807,77,0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0
Ptgdr2,ENSMUST00000037261,78,0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1
Ptprc,ENSMUST00000183301,79,0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 1
Rac1,ENSMUST00000080537,80,0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0
Rac2,ENSMUST00000043214,81,0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0
Raf1,ENSMUST00000000451,82,0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0
Reps1,ENSMUST00000126390,83,0 0 0 0 1 0 0 1 0 0 1 0 1 0 0 0
Rorc,ENSMUST00000029795,84,0 0 0 0 0 1 0 0 1 0 0 1 0 1 0 0
Rps6kb1,ENSMUST00000154617,85,0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 1
Slc2a1,ENSMUST00000030398,86,0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0
Slc44a4,ENSMUST00000007249,87,1 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0
Smad2,ENSMUST00000168423,88,0 0 1 0 0 1 0 0 1 0 1 0 0 0 0 0
Smpd3,ENSMUST00000067512,89,0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0
Sp1,ENSMUST00000001326,90,1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0
Spib,ENSMUST00000035323,91,0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0
Stat4,ENSMUST00000027277,92,0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0
Stat6,ENSMUST00000092074,93,1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0
Tbx21,ENSMUST00000001484,94,1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0
Zbtb16,ENSMUST00000093852,95,0 0 0 0 0 0 1 0 0 1 0 0 1 0 1 0
Zfp13,ENSMUST00000057029,96,1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0
Adamts7,ENSMUST00000113060,97,1 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0
Adgrg6,ENSMUST00000041168,98,0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0
Ado,ENSMUST00000075686,99,0 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0
Arhgef11,ENSMUST00000039476,100,1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0
Atg9b,ENSMUST00000059401,101,0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0
Baz2b,ENSMUST00000112550,102,0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0
Brsk1,ENSMUST00000048248,103,0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1
Ckap2,ENSMUST00000046916,104,0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1
Crtc1,ENSMUST00000076615,105,0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0
Ddx11,ENSMUST00000163605,106,1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1
Dis3l,ENSMUST00000168844,107,0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0
Eea1,ENSMUST00000053484,108,0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0
Git1,ENSMUST00000037285,109,0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1
Gm996,ENSMUST00000188161,110,0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0
Gnptab,ENSMUST00000020251,111,1 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0
Gprasp1,ENSMUST00000113144,112,0 1 1 0 0 0 1 0 0 1 0 0 0 0 0 0
Hecw2,ENSMUST00000087659,113,1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0
Itga8,ENSMUST00000028106,114,0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0
Kdm2b,ENSMUST00000046073,115,0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0
Maml3,ENSMUST00000121440,116,1 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0
Mreg,ENSMUST00000048860,117,0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 1
Nckap5l,ENSMUST00000023747,118,0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0
Nuak1,ENSMUST00000020220,119,0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0
Pcdhac2,ENSMUST00000047479,120,1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0
Pid1,ENSMUST00000168574,121,0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0
Ppp1r26,ENSMUST00000040324,122,0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0
Primpol,ENSMUST00000040468,123,0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0
Rab11fip5,ENSMUST00000204087,124,0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0
Rab3ip,ENSMUST00000020375,125,0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1
Rab44,ENSMUST00000132262,126,0 0 0 1 0 0 1 1 0 0 0 0 1 0 0 0
Scarf1,ENSMUST00000042808,127,0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0
Scube3,ENSMUST00000043503,128,0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0
Slc35d2,ENSMUST00000099441,129,1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0
Smg7,ENSMUST00000073441,130,0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 1
Tmem151a,ENSMUST00000077066,131,0 0 0 1 0 0 0 0 0 1 0 0 1 1 0 0
Tnip3,ENSMUST00000114236,132,0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 0
Txlna,ENSMUST00000084264,133,0 1 0 0 0 0 0 0 0 0 0 0 1 1 0 1
